Perforation interval (ft),Frac_fluid_vol(bbls),Proppant qty(lbs),number of frac stages,tubing depth(ft),Casing depth(ft),FTP(psi),choke size(1/64 in),SITHP(psi),SG of gas,Well Type,Latitude,Long.,Gas prod/mth,acid
280,19454.7619,408550,2,7754,8067,185,42,2815,0.679,1,33.0530716,-97.1914713,7135.18,1
757,58477,407000,1,8843,9081,490,40,1915,0.589,1,33.1622203,-97.3898575,3720.74,1
532,27262,129400,1,7963,8515,565,22,3015,0.7,1,33.0115918,-97.2716571,6200.33,1
345,31622.7381,321300,1,7832,8039,615,20,2350,0.8,1,33.1498825,-97.1488162,4096.05,1
856,18596.7619,390532,2,8602,9065,715,24,3250,0.6621,1,33.0480708,-97.2738089,4687.49,1
470,34785.71429,190000,1,7470,7810,1235.2,10,2250,0.7,1,33.2387886,-97.3018669,3551.04,1
254,20834,189500,2,8018,8351,300,42,3000,0.7,1,33.0831198,-97.2053155,3324,1
388,30952.38095,221000,1,7648,7897,675,7,3645,0.7,1,33.2395944,-97.2632167,4947.04,1
238,30637,295250,1,7726,8000,350,48,2800,0.7,1,33.0823841,-97.1897216,4906.78,1
251,17168,159750,2,7898,8163,215,32,2965,0.7,1,33.0246581,-97.3421546,4402.64,1
276,37551.83333,1015000,2,7860,8467,513,64,2113.2,0.588,1,33.0779599,-97.2294622,2459.56,1
424,31785.71429,305060,1,7539,7830,1415,18,2145,0.7,1,33.2415668,-97.2949766,5947.71,1
365,31045,317500,1,7667,7882,445,48,2858,0.7,1,33.0546165,-97.3641802,4454.89,1
390,24089,236000,1,7362,7870,1514,18,2894,0.59,1,32.9953643,-97.3437033,4162.93,1
425,33801,193750,1,7699,8000,350,48,2500,0.7,1,33.0578063,-97.3160692,4827.53,1
537,44404.7619,308200,2,8672,8970,385,18,3340,0.7,1,33.0351833,-97.3144976,12009.07,1
353,32619.04762,218500,2,8077,8380,715,15,1615,0.7,1,33.2359104,-97.3157363,4766.33,1
390,41493.07143,148150,2,8225,8416,2200,20,3435,0.7,1,33.2269455,-97.3428547,7063.06,1
310,24215,398000,1,7487,7835,541,22,2829,0.6,1,33.2259722,-97.3159543,8301.32,1
416,40547.61905,291600,2,8313,8450,440,10,3165,0.7,1,33.239822,-97.2631526,6432.87,1
364,38571.42857,252250,2,8039,8250,1190,14,1575,0.703,1,33.2407621,-97.3011555,9882.22,1
440,42142.85714,233000,2,8385,8631,1475,17,2465,0.7,1,33.2094493,-97.2713832,11917.65,1
478,42510.33333,232782,2,8353,8618,1330,10,1515,0.7,1,33.1970733,-97.2722776,1189790,1
370,29523.80952,130500,1,7523,7706,915,15,2035,0.7,1,33.2026268,-97.2774572,10620.73,1
227,26125,140000,1,7700,8222,694.2,16,1500,0.7,1,33.1704736,-97.3061384,2222.48,1
801,48806,1309500,1,8515,8837,890,16,2990,0.718,1,33.1287456,-97.3626335,7030.5,1
381,41666.66667,169000,2,8394,8575,1035,18,1505,0.7,1,33.1442859,-97.2676432,10382.2623,1
506,50553,1161660,3,8608,8931,256,26,2500,0.726,1,33.2359104,-97.3157363,6300.342,2
364,29523.80952,130500,1,7609,7816,995,13,2175,0.7,1,33.0171805,-97.38033639,10230.78049,1
372,17644,405800,2,8538,8873,499,20,2014,0.75,1,33.2517305,-97.3040693,6208.7,2
470,45865,408100,2,8401,8738,855,17,1350,0.7,1,33.1717569,-97.233051,6339.64,1
323,38809.52381,249600,2,7942,8244,915,15,1175,0.7,1,33.1404718,-97.3818847,4981.4516,1
339,30000,125600,1,7620,7920,325,64,2275,0.7,1,32.9986756,-97.3853205,6058.9079,1
872,42358,1118000,1,8532,8934,240,36,1613,0.734,1,33.1806471,-97.2949766,8205.4375,2
60,13557,138000,2,9030,9228,500,32,2600,0.7,1,33.250278,-97.1581668,8649,2
399,47883,1143120,3,8464,8706,513,20,2333,0.678,1,33.2070423,-97.3099104,4043.17,2
442,31190.47619,360000,2,8472,8775,1180,30,1400,0.7,1,33.186681,-97.3074593,6010.93,1
860,49175,1311020,1,8576,8898,203,20,2257,0.732,1,33.2598462,-97.3107367,7087.1875,1
302,52958,1209642,3,8508,8780,412,19,2475,0.723,1,33.2426361,-97.330513,8284.73,2
652,56946,1426000,3,8567.52,8807,415,17,2200,0.721,1,33.2678199,-97.317349,8627.69,2
374,49556,1254340,3,8104,8366,500,17,2100,0.733,1,33.234813,-97.3262997,7923.4,2
860,48735,1311368,1,8392,8673,919,24,1553,0.722,1,33.2755437,-97.3262997,6300.263,1
996,46136,1314660,1,8593,8904,905,24,2012,0.728,1,33.2755422,-97.3262343,4966.5789,2
617,39956,1020044,1,8856,9224,825,48,2525,0.7,1,33.2755266,-97.333116,6584.5,1
37,32284,770200,3,9750,9750,390,35,2193,0.589,1,33.1341025,-97.1006341,6426.6,2
48,12000,959000,4,9445,9660,425,22,2150,0.589,1,33.1384322,-97.103097,10860.1333,1
409,24865,396594,2,8997,9347,84,32,1114,0.645,1,33.204826,-97.1085642,2747.347,1
329,52520,1331440,3,8407,8690,360,14,2012,0.679,1,33.2070455,-97.3099758,2877.793,2
654,40201,632780,1,9131,8926,170,64,815,0.694,2,33.2046985,-97.3905303,6156.133333,1
800,44156,760500,4,4952,9951,465,64,1715,0.6,2,33.0557893,-97.225876,6315.322581,1
400,91541,1216766,4,7767,13022,770,28,2460,0.7,2,33.0204446,-97.1800479,19205.59524,1
636,58347,797301,3,7971,9452,165,64,1265,0.591,2,33.0167823,-97.194252,2147.368421,1
1731,127006,1687976,3,7770,10840,1570,20,1810,0.7,2,33.0834159,-97.3393731,37213.05882,1
2180,108147,2742096,1,8209,11000,664,25,1514,0.592,2,33.13865,-97.1777441,17927.75,2
1902,109648,2846450,8,7500,11256,305,38,1215,0.598,2,33.0921017,-97.2344136,22457.45455,1
4360,179454,2053246,1,7288,12310,1360,64,2800,0.6,2,33.0076008,-97.2580997,23878.55814,1
1755,97801.54762,1612000,3,9163,10525,1115,20,3200,0.7,2,33.2240493,-97.1783964,9364.245614,2
4555,208665,3135000,1,6959,12407,750,64,1675,0.6,2,33.0005553,-97.2581599,19729,1
2405,104835,1578079,5,8039,11688,335,64,2225,0.59,2,33.0136041,-97.1981536,10328.28571,1
3510,111668,2316800,1,8870,13144,0,32,1514,0.593,2,33.1545221,-97.0926674,24094.37931,1
1823,108740,1748160,1,8006,9871,495,64,1700,0.6,2,32.9919858,-97.2589498,9921.177778,1
1586,54899,2453700,4,8200,11238,547,36,1845,0.591,2,33.0860771,-97.2344841,34666.86667,1
2429,165427,2990518,4,7565,12050,2340,12,2850,0.7,2,33.1003368,-97.2863883,33104.92857,2
1000,37121,683121,4,7716,9452,365,64,1450,0.59,2,33.0127125,-97.1852715,14842.91176,1
866,108322,2019700,4,7965,11176,1550,15,2160,0.7,2,33.1298251,-97.256263,11506.36,1
980,37416,659368,4,8083,11510,315,64,1730,0.59,2,33.0127627,-97.1853236,16116.23529,1
1575,94904.7619,1746400,2,7393,10027,990,48,1560,0.7,2,33.0325189,-97.297291,20588.32432,1
300,65273,943372,3,8197,10588,400,30,1100,0.7,2,33.0080388,-97.1879437,7145.547619,1
1250,112784.2619,599250,2,8194,10230,2095,28,2415,0.7,2,33.1907849,-97.3562194,19267.68085,1
400,105878,1567677,4,7950,11450,415,128,1715,0.596,2,33.0169455,-97.1944937,8489.051282,1
2071,168537,1468797,3,7970,9863,864,33,2460,0.7,2,33.1948752,-97.3608932,24129.02,1
16,58280,1050000,4,7515,9880,1020,48,1330,0.7,2,33.0049422,-97.3760508,24366.29412,1
2460,126861,2095802,1,7595,10242,1003,64,2914,0.6,2,33.0113857,-97.2716518,23630.63333,1
12,40988,826625,3,7715,9314,1450,12,2350,0.7,2,33.1589539,-97.3381148,6812.772727,1
2546,26170,577634,1,7718,10745,840,28,2500,0.7,2,33.0278291,-97.307238,24888.51111,1
1389,124546.1905,700000,2,8401,11019,1100,23,1615,0.702,2,33.2192497,-97.2724807,13714.01639,1
1395,47398,849496,3,7796,11263,894,30,2318,0.7,2,33.0825667,-97.2117,8602.5,2
1657,111082,814780,1,8696,11045,565,32,1215,0.593,2,33.1485456,-97.1284747,15546.07018,1
1556,109881.7619,900000,2,8408,10737,705,48,895,0.7,2,33.1907783,-97.2043408,16679.73469,1
2295,175422.8571,1980000,3,8449,12038,715,32,840,0.7,2,33.1552738,-97.2367096,45734.35417,1
1712,61747,1002000,4,8780,10920,392.61,64,425,0.6,2,33.1240222,-97.1248723,23918,1
12,71993,1590000,3,7811,9506,840,40,1360,0.7,2,33.0048558,-97.3761825,13667.29412,1
12,82414,1450500,4,7690,10444,1420,15,2000,0.7,2,33.0463564,-97.3448194,36893.7,1
1676,94215,1220488,2,8242,11060,1240,8,1620,0.743,2,33.2112635,-97.2742508,29907.1,1
1272,79371,1492125,3,7699,10432,860,19,1320,0.7,2,33.1158637,-97.3868685,22659.15385,2
656,63996.42857,1557000,2,7645,10141,1695,128,2045,0.7,2,33.0184655,-97.2546112,6919.339286,1
1908,101255,1720889,7,7220,10581,490,48,1415,0.59,2,33.0680443,-97.2718201,55624.7,1
1834,74346.52381,796164,2,8270,11180,1515,24,2035,0.7,2,33.2015713,-97.3234473,17778.67925,1
1431,119786,1699000,3,7865,10389,1840,14,2430,0.7,2,33.0333198,-97.3622637,31176.96429,1
936,58648,1700012,4,7335,9185,435,38,1215,0.596,2,33.0692004,-97.2456471,28955.15,1
1431,101926,1860000,3,8487,11050,1060,21,2140,0.7,2,33.1150601,-97.2190161,10694.27273,1
144,47209,506743,5,8642,11632,940,128,1540,0.769,2,33.3303836,-97.3454991,2137.904762,1
1446,73600,1331850,3,8207,10850,1280,12,2000,0.7,2,33.206038,-97.2444303,18459.34615,2
1277,3637776,820000,2,7810,9820,1005,28,1415,0.7,2,33.0144547,-97.3455704,22042.52174,1
1512,143926,2550860,3,7207,10202,1950,42,2250,0.7,2,33.0175349,-97.3654016,28305.42424,1
1713,62621,678109,4,7371,10760,352.93,64,1000,0.6,2,33.0272979,-97.3070434,28315.95,1
1805,106835,1460385,4,7484,10160,335,64,1015,0.61,2,33.0702204,-97.3922497,2743.378378,1
908,56664,1534949,5,7180,9100,395,34,1315,0.59,2,33.0688225,-97.2561075,21660.33333,1
1803,83571.42857,715000,1,8688,11130,975,18,1545,0.958,2,33.2930889,-97.3000923,14602.67164,1
2453,178725.6905,3347500,3,7536,10010,1895,24,1945,0.7,2,3436128,33.0360525,62475.05455,1
1473,115424,2119850,3,7208,10025,1700,11,2205,0.7,2,32.9927114,-97.3649525,29406.58065,2
1292,80630,1429875,3,8149,10406,1285,14,1780,0.7,2,33.1169934,-97.3705152,34243,1
17,73537,440000,4,7687,9890,864,10,864,0.7,2,33.0781989,-97.321551,15281.03226,1
1428,84681.7381,781390,2,7326,9902,1100,30,1470,0.7,2,33.0223569,-97.3409229,26312.04651,1
1192,79033,1370625,3,8010,10206,1000,26,1730,0.7,2,33.1537462,-97.3640215,17285.3,1
1916,114558.7381,479550,2,9064,11817,1234,17,3014,0.73,2,33.2382938,-97.1961881,20102.57143,1
1218,107967,1345938,3,8440,10922,1700,20,2100,0.7,2,33.1637996,-97.2002407,3163.551724,2
908,88282,1648750,2,8417,10536,1390,15,2100,0.7,2,33.1638014,-97.2003714,13759.80645,2
688,83329,1617500,4,7868,10822,1950,20,2060,0.7,2,33.1161995,-97.3174227,36340.96552,2
446,107071.4286,1850200,4,7989,10495,2080,32,2570,0.7,2,33.1485226,-97.284402,24896.85714,2
2004,62285.71429,648000,1,7414,9947,1910,8,2940,0.7,2,33.1067846,-97.371285,37118.40845,1
842,51626,1310000,1,8485,8850,230,36,2134,0.734,2,33.2415661,-97.2949112,8489.1875,2
1724,66761.90476,1141000,2,8791,11392,285,128,300,0.864,2,33.2892349,-97.2564636,6553.166667,1
1294,42571.33333,469258,1,7312,9101,1050,24,1460,0.7,2,33.0224187,-97.3410069,15556.13953,1
996,99335,1703750,4,7842,11012,1240,12,1400,0.7,2,33.1331028,-97.3128486,29057.77273,1
1505,81750,433355,1,8427,10570,1015,16,2635,0.802,2,33.2708667,-97.3032321,9026,1
12,95238.09524,1641000,4,7896,10075,1300,18,1820,0.7,2,33.1461603,-97.3428412,17497.82857,1
1396,54955.33333,932000,2,7199,10003,1070,20,1730,0.704,2,33.1783813,-97.3472569,9417.55,1
1327,82671,1530500,4,8005,10193,1160,20,1540,0.7,2,33.1170853,-97.3704194,31100.73333,1
1670,139500,1791300,2,8485,10850,510,32,715,0.7,2,33.3201141,-97.3102588,17320.54545,1
1206,56563.7619,648000,2,8008,9375,1475,9,2195,0.7,2,33.1169265,-97.3706075,12919.95349,1
2128,166216,1673200,3,12100,12100,1015,28,2064,0.7,2,33.2214086,-97.2108382,25350.30556,1
791,85794,1480000,4,8708,10377,1120,128,1240,0.7,2,33.1716337,-97.2501918,20511.4,1
2366,110732,3258439,10,7570,11370,595,40,1715,0.702,2,33.205193,-97.383634,35711,1
1710,102611,2935760,9,7450,10755,590,36,1515,0.695,2,33.198791,-97.373242,38986,1
1820,101613,2912438,9,7450,11354,395,44,1015,0.681,2,33.188089,-97.368006,67271.5,1
12,79952,1547500,4,7515,9695,1550,14,1870,0.7,2,33.007205,-97.36076,36949.5,1
1000,26801,378500,1,8606,9725,48,38,1300,0.7,2,33.0407085,-97.1047464,6198.5,2
28,165514,1520300,7,7547,10450,1200,18,1430,0.7,2,33.002244,-97.364392,35550.33333,1
2436,71723,1365727,4,8373,11648,312.74,64,400,0.7,2,33.0934365,-97.1901063,34660.5,1
12,91617,1976000,4,7488,10035,890,29,1010,0.7,2,33.001629,-97.371414,33879.5,1
12,120672,1805080,4,8193,10470,1650,128,2320,0.7,2,33.109401,-97.244792,16579.5,1
1400,73205,1481520,1,8764,10500,200,48,1780,0.7,2,33.1171164,-97.1138537,20794.2,1
2877,151566,2400000,1,7953,11211,215,128,2085,0.699,2,33.351911,-97.332303,11365.8,1
1111,68387,1280500,4,8019,10283,1160,24,1960,0.7,2,33.097694,-97.354103,36732.8,1
12,101151,1971000,4,7810,9690,1850,10,2020,0.7,2,33.06041,-97.288792,37543.6,1
32,96245.97619,1789500,4,7814,8614,1710,128,2070,0.7,2,33.080149,-97.339474,29753.33333,1
1146,90546,1707000,4,8107,10397,1020,128,1180,0.7,2,33.173212,-97.299936,25084.33333,1
1146,71996,1326500,4,7731,11369,1160,24,1630,0.7,2,33.127234,-97.388521,37933,1
3419,123400,1208942,11,7178,11496,765,26,1365,0.598,2,33.0753051,-97.2812075,50817.28571,1
1388,63561,1889919,4,8020,10012,455,30,1885,0.725,2,33.228742,-97.383629,20972,1
12,98633,1720000,4,7859,9576,1000,48,1360,0.7,2,33.020579,-97.363248,23656.57143,1
1336,76367,1393375,4,7740,11212,1530,20,1800,0.7,2,33.094054,-97.388562,37816.14286,1
1596,103593,1973500,4,8036,11110,2000,13,2280,0.7,2,33.1403026,-97.3106783,57653.25,1
1694,59437,2326410,4,6347,11613,214,128,2928,0.7,2,33.2558288,-97.278865,18627.375,1
1012,62000,2454000,4,8750,11750,258,68,1500,0.602,2,33.1969469,-97.1600496,23161.75,2
1452,81003,1521500,4,7914,10610,1370,10,1480,0.7,2,33.094345,-97.376919,30782.25,1
1436,84353,1592500,4,8069,10728,1540,12,2300,0.7,2,33.096667,-97.340595,32331.75,1
1216,64548.47619,1284000,4,8105,10675,1470,128,1930,0.7,2,33.1012068,-97.3781195,30099.22222,1
1372,77244,1434000,4,8122,11467,1210,19,1520,0.7,2,33.091267,-97.364098,41534.55556,1
1456,93333.33333,1610000,4,8363,11043,1180,25,1720,0.7,2,33.1403028,-97.3105581,17247.2,1
1512,69300,1872500,7,7380,10121,350,36,1315,0.712,2,33.1905917,-97.3673848,18270,1
942,68197.47619,1306500,3,8363,10226,1080,22,1805,0.7,2,33.1434158,-97.2669745,20670.7,1
1276,101767,1916950,4,8043,10598,1045,14,1900,0.7,2,33.1772297,-97.3128283,31979.81818,1
1616,127254,2476500,4,8347,11315,1210,16,2200,0.7,2,33.1763609,-97.3097031,34131.91667,1
1611,97216,1850000,4,7049,11010,900,21,1400,0.7,2,33.1454723,-97.3456679,22676.16667,1
1281,57034,1729242,4,8173,10724,660,30,1845,0.677,2,33.1954455,-97.3521073,19847.25,1
812,59000,2446000,4,8932,11600,432,48,1110,0.749,2,33.2459602,-97.1628268,41065.66667,2
1290,57348,834750,4,8734,11518,615,64,515,0.771,2,33.3034985,-97.2689521,13983.84615,1
870,57266,1724800,4,8109,10443,275,64,1720,0.601,2,33.0833226,-97.139246,20461.53846,1
1547,73757,1599065,3,8491,10585,529,36,1915,0.708,2,33.2013918,-97.2064624,28015.84615,1
1996,111635,1828937,1,7691,10780,419,64,2171,0.6,2,33.011161,-97.271614,27216.92308,1
280,38938,672846,4,8643,8955,475,34,1820,0.594,2,33.1360503,-97.1739735,15077.92857,2
1457,54490,1572300,6,6350,9914,285,40,1215,0.5963,2,33.08132,-97.27297,28122.64286,1
2253,151401,4437897,11,7400,10890,425,28,1165,0.6922,2,33.2005605,-97.3765248,42435.8,1
462,7881,387800,1,6545,11395,445,64,1535,0.5905,2,33.0865105,-97.2344543,9149.944444,1
1091,51924,1841100,4,8193,10582,926,48,2830,0.688,2,33.052123,-97.118688,31757.77778,2
